Ano,PIB_WB_USD
2010,1824751467.92957
2011,2046817987.20109
2012,1913081210.41411
2013,2028910915.16446
2014,2041930125.42979
2015,1749857620.35329
2016,1849789985.99572
2017,1996741539.95088
2018,2205099506.99994
2019,2252177124.32402
2020,1821565613.68613
2021,2051842618.70539
2022,2247003344.34242
2023,2504525548.71164
2024,2725414150.72735
